Object Name,Bounding Box,Area,Overlap Area,Percentage
Bia_Truc_Bach,"(748, 236), (1007, 542)",79254,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(748, 235), (1005, 544)",79413,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(747, 233), (1006, 543)",80290,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(747, 234), (1005, 544)",79980,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(747, 234), (1004, 543)",79413,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(746, 234), (1004, 545)",80238,0.0,0.0
Fanta,"(0, 630), (174, 720)",15660,0.0,0.0
Bia_Truc_Bach,"(746, 233), (1003, 545)",80184,0.0,0.0
Fanta,"(0, 630), (174, 720)",15660,0.0,0.0
Bia_Truc_Bach,"(746, 233), (1001, 546)",79815,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(745, 233), (1000, 547)",80070,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(744, 232), (1000, 547)",80640,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(744, 231), (999, 547)",80580,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(744, 231), (997, 545)",79442,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(744, 233), (995, 543)",77810,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(744, 232), (995, 544)",78312,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(744, 231), (994, 542)",77750,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(744, 231), (993, 541)",77190,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(745, 231), (993, 541)",76880,0.0,0.0
Fanta,"(0, 629), (172, 720)",15652,0.0,0.0
Bia_Truc_Bach,"(745, 230), (992, 541)",76817,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(745, 230), (993, 541)",77128,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(745, 229), (993, 541)",77376,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(746, 230), (993, 540)",76570,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(746, 229), (995, 541)",77688,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(746, 229), (995, 541)",77688,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(747, 228), (996, 541)",77937,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(747, 228), (996, 541)",77937,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(748, 228), (997, 540)",77688,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(749, 227), (997, 540)",77624,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(749, 226), (997, 539)",77624,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(751, 225), (997, 538)",76998,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(752, 225), (997, 538)",76685,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(755, 222), (997, 538)",76472,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(756, 221), (995, 537)",75524,0.0,0.0
Fanta,"(0, 630), (174, 720)",15660,0.0,0.0
Bia_Truc_Bach,"(757, 220), (995, 536)",75208,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(757, 219), (995, 535)",75208,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(758, 219), (995, 535)",74892,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(758, 219), (995, 536)",75129,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(758, 219), (995, 536)",75129,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(757, 219), (995, 536)",75446,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(756, 219), (993, 536)",75129,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(756, 218), (993, 536)",75366,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(755, 218), (992, 535)",75129,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(752, 218), (986, 537)",74646,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(749, 217), (984, 535)",74730,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(748, 216), (981, 535)",74327,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(746, 216), (981, 534)",74730,0.0,0.0
